epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,,2.234426498413086,,
0,99,,1.9007158279418945,,
0,149,,1.4925575256347656,,
0,199,,0.8516482710838318,,
0,249,,0.5866353511810303,,
0,299,,0.5820929408073425,,
0,349,,0.4698401391506195,,
0,399,,0.5070598721504211,,
0,449,,0.4520319700241089,,
0,499,,0.5725223422050476,,
0,549,,0.21153663098812103,,
0,599,,0.3446376621723175,,
0,649,,0.7274291515350342,,
0,699,,0.36752116680145264,,
0,749,,0.32965508103370667,,
0,799,,0.25518009066581726,,
0,849,,0.5068390965461731,,
0,858,,,0.8966000080108643,0.35509952902793884
0,858,0.7733738422393799,,,
1,899,,0.2961884140968323,,
1,949,,0.261196106672287,,
1,999,,0.26647061109542847,,
1,1049,,0.140471950173378,,
1,1099,,0.3422797620296478,,
1,1149,,0.23510399460792542,,
1,1199,,0.44720137119293213,,
1,1249,,0.19390295445919037,,
1,1299,,0.2189474254846573,,
1,1349,,0.4376988112926483,,
1,1399,,0.7405133247375488,,
1,1449,,0.22732213139533997,,
1,1499,,0.4789365530014038,,
1,1549,,0.3946468234062195,,
1,1599,,0.22998003661632538,,
1,1649,,0.18957924842834473,,
1,1699,,0.2664089798927307,,
1,1717,,,0.9182000160217285,0.27935874462127686
1,1717,0.9131439328193665,,,
2,1749,,0.2639175355434418,,
2,1799,,0.19476664066314697,,
2,1849,,0.3215201497077942,,
2,1899,,0.362487256526947,,
2,1949,,0.14258664846420288,,
2,1999,,0.11822306364774704,,
2,2049,,0.2043764889240265,,
2,2099,,0.3666030764579773,,
2,2149,,0.31203991174697876,,
2,2199,,0.11503736674785614,,
2,2249,,0.31019115447998047,,
2,2299,,0.21164481341838837,,
2,2349,,0.38999783992767334,,
2,2399,,0.19097869098186493,,
2,2449,,0.05746401473879814,,
2,2499,,0.1153053343296051,,
2,2549,,0.18583256006240845,,
2,2576,,,0.9318000078201294,0.23156733810901642
2,2576,0.9317338466644287,,,
3,2599,,0.2720823884010315,,
3,2649,,0.16006901860237122,,
3,2699,,0.278637170791626,,
3,2749,,0.2347113937139511,,
3,2799,,0.035923559218645096,,
3,2849,,0.11412990093231201,,
3,2899,,0.3546299934387207,,
3,2949,,0.43000543117523193,,
3,2999,,0.1997455209493637,,
3,3049,,0.25370147824287415,,
3,3099,,0.08812029659748077,,
3,3149,,0.31808310747146606,,
3,3199,,0.1046120822429657,,
3,3249,,0.1181243360042572,,
3,3299,,0.3619724214076996,,
3,3349,,0.18765908479690552,,
3,3399,,0.1854979544878006,,
3,3435,,,0.9426000118255615,0.19259746372699738
3,3435,0.9450851082801819,,,
4,3449,,0.3138425648212433,,
4,3499,,0.18231499195098877,,
4,3549,,0.05780836567282677,,
4,3599,,0.13863302767276764,,
4,3649,,0.22268442809581757,,
4,3699,,0.09922084957361221,,
4,3749,,0.27474018931388855,,
4,3799,,0.3573170304298401,,
4,3849,,0.1218864768743515,,
4,3899,,0.08487255871295929,,
4,3949,,0.41972869634628296,,
4,3999,,0.2751605808734894,,
4,4049,,0.09895054250955582,,
4,4099,,0.07074004411697388,,
4,4149,,0.1560351848602295,,
4,4199,,0.22390292584896088,,
4,4249,,0.2493407428264618,,
4,4294,,,0.9488000273704529,0.16915088891983032
4,4294,0.9535797238349915,,,
5,4299,,0.12152224779129028,,
5,4349,,0.14917635917663574,,
5,4399,,0.21596620976924896,,
5,4449,,0.10307417809963226,,
