accuracy,epoch,step,train_acc,train_loss,val_acc,val_loss
,0,49,,2.201075315475464,,
,0,99,,1.9446340799331665,,
,0,149,,1.5279808044433594,,
,0,199,,1.1349010467529297,,
,0,249,,0.6259702444076538,,
,0,299,,0.5949246287345886,,
,0,349,,0.6504149436950684,,
,0,399,,0.5226878523826599,,
,0,449,,0.3193444311618805,,
,0,499,,0.2931254506111145,,
,0,549,,0.5107324123382568,,
,0,599,,0.43048790097236633,,
,0,649,,0.5375573039054871,,
,0,699,,0.35541102290153503,,
,0,749,,0.33932095766067505,,
,0,799,,0.2637806832790375,,
,0,849,,0.32945579290390015,,
,0,859,,,0.8687999844551086,0.4298781156539917
,0,859,0.7735999822616577,,,
,1,899,,0.32411637902259827,,
,1,949,,0.34573373198509216,,
,1,999,,0.4001961052417755,,
,1,1049,,0.2697102427482605,,
,1,1099,,0.34240856766700745,,
,1,1149,,0.35035794973373413,,
,1,1199,,0.5168863534927368,,
,1,1249,,0.19654926657676697,,
,1,1299,,0.14536210894584656,,
,1,1349,,0.1623239666223526,,
,1,1399,,0.28582683205604553,,
,1,1449,,0.3027176856994629,,
,1,1499,,0.2565440833568573,,
,1,1549,,0.194115549325943,,
,1,1599,,0.3386942446231842,,
,1,1649,,0.3732007145881653,,
,1,1699,,0.4816306531429291,,
,1,1719,,,0.9120000004768372,0.3092258870601654
,1,1719,0.9128909111022949,,,
,2,1749,,0.048280831426382065,,
,2,1799,,0.14834533631801605,,
,2,1849,,0.34573251008987427,,
,2,1899,,0.2777370512485504,,
,2,1949,,0.31845858693122864,,
,2,1999,,0.290404736995697,,
,2,2049,,0.28913745284080505,,
,2,2099,,0.24991407990455627,,
,2,2149,,0.23551487922668457,,
,2,2199,,0.2179853767156601,,
,2,2249,,0.2457866221666336,,
,2,2299,,0.1428152173757553,,
,2,2349,,0.29627588391304016,,
,2,2399,,0.3402271866798401,,
,2,2449,,0.1922106146812439,,
,2,2499,,0.25002816319465637,,
,2,2549,,0.21661193668842316,,
,2,2579,,,0.9318000078201294,0.2269095629453659
